apps/frappe/frappe/core/doctype/doctype/boilerplate/controller_list.html +31,Completed,
DocType: Email Alert,Condition,
apps/frappe/frappe/public/js/frappe/ui/modal.html +16,Confirm,
DocType: Contact Us Settings,Contact Us Settings,
DocType: Contact Us Settings,"Contact options, like ""Sales Query, Support Query"" etc each on a new line or separated by commas.",
DocType: Note,Content,
DocType: File,Content Hash,
DocType: Web Page,Content in markdown format that appears on the main side of your page,
apps/frappe/frappe/config/website.py +13,Content web page.,
apps/frappe/frappe/templates/generators/web_form.html +273,Continue,
apps/frappe/frappe/core/doctype/file/file_list.js +104,Copy,
DocType: Website Settings,Copyright,
DocType: Block Module,Core,
apps/frappe/frappe/email/smtp.py +155,Could not connect to outgoing email server,
apps/frappe/frappe/model/document.py +532,Could not find {0},
DocType: Country,Country,
DocType: Country,Country Name,
DocType: DocPerm,Create,
apps/frappe/frappe/print/page/print_format_builder/print_format_builder_start.html +16,Create a New Format,
apps/frappe/frappe/public/js/frappe/form/control.js +1144,Create a new {0},
DocType: Communication,Created,
apps/frappe/frappe/public/js/frappe/model/model.js +18,Created By,
apps/frappe/frappe/workflow/doctype/workflow/workflow.py +38,Created Custom Field {0} in {1},
apps/frappe/frappe/public/js/frappe/model/model.js +20,Created On,
apps/frappe/frappe/public/js/frappe/form/grid_form.html +22,Ctrl + Down,
apps/frappe/frappe/public/js/frappe/form/grid_form.html +22,Ctrl + Up,
DocType: DocField,Currency,
DocType: Currency,Currency Name,
apps/frappe/frappe/public/js/frappe/form/workflow.js +35,Current status,
apps/frappe/frappe/public/js/frappe/form/form_sidebar.html +44,Currently Viewing,
DocType: Custom Field,Custom,
DocType: Print Format,Custom CSS,
DocType: Custom Field,Custom Field,
DocType: Print Format,Custom Format,
apps/frappe/frappe/print/page/print_format_builder/print_format_builder.js +182,Custom HTML,
DocType: Print Format,Custom HTML Help,
DocType: Web Page,Custom Javascript,
apps/frappe/frappe/desk/moduleview.py +31,Custom Reports,
DocType: Custom Script,Custom Script,
DocType: DocType,Custom?,
apps/frappe/frappe/public/js/frappe/list/doclistview.js +419,Customize,
DocType: Customize Form,Customize Form,
DocType: Customize Form Field,Customize Form Field,
DocType: Customize Form,"Customize Label, Print Hide, Default etc.",
apps/frappe/frappe/config/core.py +32,"Customized Formats for Printing, Email",
apps/frappe/frappe/config/setup.py +160,Customized HTML Templates for printing transactions.,
DocType: Dropbox Backup,Daily,
apps/frappe/frappe/desk/doctype/event/event.py +66,Daily Event Digest is sent for Calendar Events where reminders are set.,
DocType: Workflow State,Danger,
DocType: DocField,Data,
apps/frappe/frappe/core/page/data_import_tool/exporter.py +51,Data Import Template,
,Data Import Tool,
